LSOA_code,crime_count,avg_distance_to_stadium,LSOA_name
E01002835,280,1.4717103505184725,Kensington and Chelsea 016C
E01002850,267,1.3233449480437445,Kensington and Chelsea 013D
E01002914,221,1.7607096649785292,Kensington and Chelsea 019E
E01002847,206,1.1218904851209726,Kensington and Chelsea 015B
E01002839,198,1.387862097022071,Kensington and Chelsea 013C
E01001881,196,0.6148947556656674,Hammersmith and Fulham 017B
E01001948,192,1.149603086430308,Hammersmith and Fulham 021B
E01002887,177,1.7222686668862555,Kensington and Chelsea 010A
E01001953,166,0.5477766174481689,Hammersmith and Fulham 021F
E01001950,160,0.9522486249052694,Hammersmith and Fulham 021D
E01002911,159,1.0551343353469496,Kensington and Chelsea 019D
E01001884,158,0.8157144402468353,Hammersmith and Fulham 017E
E01001920,157,0.2668080674202595,Hammersmith and Fulham 020A
E01002894,148,0.8181498518123355,Kensington and Chelsea 017D
E01001937,147,1.289840293717957,Hammersmith and Fulham 025C
E01002836,146,1.2218590118119805,Kensington and Chelsea 016D
E01001922,146,0.8819555117675696,Hammersmith and Fulham 020C
E01001914,146,1.4665292769552098,Hammersmith and Fulham 014D
E01001952,142,1.6921376194658952,Hammersmith and Fulham 024D
E01002912,142,0.6608759299171898,Kensington and Chelsea 020E
E01002813,137,1.70981575028084,Kensington and Chelsea 011A
E01001910,133,1.6711686120516032,Hammersmith and Fulham 014B
E01002890,129,1.8563622427007094,Kensington and Chelsea 010C
E01001939,129,0.8907120190373463,Hammersmith and Fulham 023C
E01001921,129,0.3626067933935959,Hammersmith and Fulham 020B
E01001886,128,1.54909275405914,Hammersmith and Fulham 016A
E01033101,128,1.881811701678081,Wandsworth 004F
E01001903,127,1.4429253516009042,Hammersmith and Fulham 019D
E01002821,124,1.8055441546743138,Kensington and Chelsea 014A
E01004580,122,1.71521508562336,Wandsworth 004C
E01002814,120,1.6584509769094804,Kensington and Chelsea 015A
E01033099,119,1.60339804164535,Wandsworth 004E
E01001901,119,1.1935675159714099,Hammersmith and Fulham 019B
