LSOA_code,crime_count,avg_distance_to_stadium,LSOA_name
E01033595,2266,10.737871327884342,Westminster 013E
E01032739,1995,14.105726040059327,City of London 001F
E01004763,1791,11.011070090276133,Westminster 013B
E01033708,1626,14.153475756372252,Hackney 033C
E01004734,1451,11.682742143365337,Westminster 018A
E01004765,1330,10.470227798334376,Westminster 013D
E01004735,1158,12.008396564573578,Westminster 018B
E01004736,1136,11.507224182709221,Westminster 018C
E01004761,1120,10.61500569057939,Westminster 018D
E01004714,1115,9.833386213355237,Westminster 011B
E01000914,1077,11.883651084040544,Camden 028B
E01033583,985,18.989466145602396,Newham 013G
E01000919,970,11.488315471437042,Camden 028D
E01003929,875,14.145590561384541,Southwark 002B
E01000918,857,11.689429681044983,Camden 028C
E01032740,838,12.744745649556116,City of London 001G
E01002724,835,12.640341252714832,Islington 022D
E01000850,777,10.928221599473252,Camden 026A
E01033596,721,11.029543521584142,Westminster 013F
E01002704,717,13.737278206396473,Islington 023D
E01001043,702,24.242436583065935,Croydon 027B
E01004699,695,7.815142858787413,Westminster 017F
E01000855,692,11.296328231181942,Camden 028A
E01003927,680,13.841130126199284,Southwark 002A
E01033594,673,8.629893533271504,Westminster 015G
E01033706,669,14.298097672328074,Hackney 033B
E01004307,635,14.694176653825524,Tower Hamlets 015B
E01004654,611,7.52681109453284,Westminster 014B
E01000851,609,10.481445842098902,Camden 026B
E01000916,593,12.462128708317396,Camden 027B
E01004254,590,17.72830797689645,Tower Hamlets 023B
E01004317,586,14.8590686770676,Tower Hamlets 009D
E01002968,576,16.32406078890997,Kingston upon Thames 009C
E01001943,575,6.74193904208324,Hammersmith and Fulham 004A
E01004682,568,8.542239002858958,Westminster 016B
E01000863,548,9.582029585628232,Camden 021A
E01003013,546,12.894882469417782,Lambeth 036A
E01003876,539,10.755566155905266,Richmond upon Thames 008B
E01004731,537,11.666482540521425,Westminster 020A
E01003047,535,15.48217777878108,Lambeth 011B
E01003318,528,21.743605653033008,Lewisham 020B
E01001247,527,3.4982438185254465,Ealing 015E
E01000600,526,2.6120780074354437,Brent 027E
E01002731,525,11.1809361412758,Islington 007B
E01002554,524,14.317293836697992,Hillingdon 022F
E01001748,522,14.464829774270811,Hackney 020A
E01001898,518,7.866353401012929,Hammersmith and Fulham 013C
E01004197,517,15.64285823313853,Tower Hamlets 002A
E01033712,509,15.31038546306626,Hackney 023G
E01004242,503,18.4460607657809,Tower Hamlets 012C
E01000973,502,6.131774872836664,Camden 010E
E01033704,501,15.47348210654447,Hackney 023F
E01001048,500,23.40736051968406,Croydon 020C
E01002770,497,9.930418502297604,Islington 004B
E01004306,495,15.008630911025255,Tower Hamlets 015A
E01004657,492,9.47760420312313,Westminster 012A
E01035716,481,10.81953115164247,Westminster 013G
E01001014,478,23.352628141276494,Croydon 024A
E01004749,477,11.915947641230686,Westminster 022B
E01004609,476,11.314185863602715,Wandsworth 010E
E01002818,473,10.383632916957097,Kensington and Chelsea 012A
E01003939,473,14.382493483491167,Southwark 002E
E01000146,471,5.945596284793807,Barnet 038D
E01003076,469,16.035656641750684,Lambeth 014C
E01004762,467,10.026158610268071,Westminster 011E
E01003689,467,24.347886409566847,Redbridge 039C
E01004661,466,8.86771937009348,Westminster 012C
E01004397,465,18.06503860909334,Waltham Forest 017C
E01004656,465,7.671241736909297,Westminster 014D
E01001667,462,21.14405770277634,Greenwich 036B
E01001412,461,19.37408716410551,Enfield 004C
E01004698,459,8.093985771365379,Westminster 017E
E01003074,455,16.510642587484867,Lambeth 018E
E01004474,455,15.211183963984514,Wandsworth 021B
E01003039,449,14.113827557580382,Lambeth 013C
E01001641,449,20.4802595439405,Greenwich 038B
E01002794,447,12.338561618902302,Islington 020B
E01002034,446,15.635662612031727,Haringey 037A
E01001246,445,3.3087034654209635,Ealing 015D
E01003934,444,13.35097729310663,Southwark 002C
E01004027,443,15.126105571191783,Southwark 003E
E01002835,442,9.68176884420666,Kensington and Chelsea 016C
E01001750,440,13.988663434720198,Hackney 031D
E01004658,439,9.263382400766021,Westminster 012B
E01000854,437,10.56887777150466,Camden 026D
E01002711,437,11.33253351784239,Islington 021B
E01001734,436,15.69036816334469,Hackney 017B
E01001839,436,15.649898839211282,Hackney 023C
E01033699,436,14.175124038338794,Hackney 030A
E01000947,436,9.968375554619646,Camden 021C
E01004525,432,16.327478446659647,Wandsworth 035A
E01000586,431,5.076285026569565,Brent 032E
E01032764,431,18.108677891468965,Tower Hamlets 004E
E01004713,430,9.983675452898982,Westminster 011A
E01002726,430,12.190093448622077,Islington 022F
E01001045,429,23.93353058887416,Croydon 027C
E01000580,427,5.314371915115211,Brent 032B
E01003783,426,24.17554000036285,Redbridge 029A
E01004062,426,17.73884702056676,Southwark 025B
E01004224,424,17.746036535302142,Tower Hamlets 001C
E01001773,424,14.316713169597628,Hackney 025E
E01033327,423,21.408481101333532,Lewisham 041B
E01004067,421,17.279193925137974,Southwark 022E
E01004648,420,7.018480122971762,Westminster 002B
E01000642,419,3.926829099021711,Brent 022D
E01033700,418,14.276158336243459,Hackney 030B
E01032582,416,13.030729369180632,Lambeth 036E
E01002521,415,14.070927162768035,Hillingdon 016C
E01002819,415,10.150056340951638,Kensington and Chelsea 012B
E01001849,413,17.364890935211402,Hackney 018D
E01000545,412,5.6470961486544216,Brent 028A
E01003969,412,15.237781566559496,Southwark 017B
E01004712,412,9.390076267532455,Westminster 008C
E01002886,409,7.320394084241983,Kensington and Chelsea 006E
E01002130,409,4.78863946101627,Harrow 020B
E01000524,407,2.95709725960029,Brent 031B
E01003617,407,19.48217187465502,Newham 012B
E01001221,402,5.079109560129672,Ealing 020A
E01001779,401,13.255441611065425,Hackney 026A
E01004208,399,15.98054970066301,Tower Hamlets 013C
E01001731,398,15.777373347047902,Hackney 017A
E01004552,398,13.189557958940846,Wandsworth 008C
E01004700,398,8.24418586056815,Westminster 016E
E01000556,397,4.447831384521556,Brent 015D
E01003521,396,23.127537151744644,Newham 018B
E01003304,396,19.547530248644268,Lewisham 039D
E01002037,396,16.46179403430913,Haringey 002B
E01004675,395,6.639730846312623,Westminster 005B
E01001747,393,14.13700600221878,Hackney 014B
E01004681,392,8.259252125253218,Westminster 016A
E01002129,392,4.874381157490199,Harrow 023C
E01003296,391,20.914741784396313,Lewisham 012E
E01000862,389,9.27105197475683,Camden 018E
E01003981,389,14.608404502366856,Southwark 006F
E01004750,388,11.577938825613678,Westminster 023E
E01001990,387,11.123982067302926,Haringey 034C
E01001042,386,23.871183849260397,Croydon 024B
E01004715,386,10.202861007032578,Westminster 013A
E01004325,385,15.390005958126869,Tower Hamlets 021D
E01001644,383,20.26192493581127,Greenwich 038D
E01002850,381,9.213622546537247,Kensington and Chelsea 013D
E01032583,376,13.525952074533254,Southwark 034D
E01003131,374,16.630407845916505,Lambeth 026B
E01002003,372,12.628815172187329,Haringey 023C
E01033490,371,13.079128625298475,Islington 022H
E01003913,370,16.100351896822062,Southwark 024A
E01033711,370,13.659485803442987,Hackney 032C
E01001361,368,8.391509203263244,Ealing 023E
E01004430,368,18.62716248332159,Waltham Forest 026D
E01002735,367,11.834120231314223,Islington 003A
E01000714,366,23.991292873583863,Bromley 006D
E01001429,365,17.042863814803333,Enfield 030D
E01004074,364,17.103678812908395,Southwark 031D
E01001760,362,15.487064930185202,Hackney 017C
E01004244,362,18.740421080086946,Tower Hamlets 020B
E01000938,362,11.492294834984316,Camden 029A
E01004309,361,15.268490864882649,Tower Hamlets 015D
E01033727,361,19.592954170287687,Greenwich 035B
E01001762,360,15.350555134064711,Hackney 017D
E01003988,359,17.40282383540946,Southwark 018B
E01033491,359,11.567806722071783,Islington 011H
E01004663,358,9.047679828405066,Westminster 012E
E01004695,358,8.120334656412647,Westminster 017C
E01000583,358,5.724083112979885,Brent 032D
E01004262,357,16.719494593652332,Tower Hamlets 010B
E01004270,355,17.54769987150281,Tower Hamlets 014B
E01002444,354,15.962032224475422,Hillingdon 031A
E01003035,354,14.351142867156272,Lambeth 012B
E01003018,354,15.631765207624273,Lambeth 020A
E01001559,353,17.015757002117926,Enfield 033F
E01000930,352,6.443089682981481,Camden 020B
E01000005,351,14.883454062715087,City of London 001E
E01000141,351,4.495749020782304,Barnet 039A
E01003609,351,22.916929575074448,Newham 037A
E01004234,350,16.812734746933607,Tower Hamlets 003E
E01002772,350,10.291902828450231,Islington 002F
E01003976,349,15.334830153886104,Southwark 036D
E01001381,349,5.932735086010861,Ealing 034D
E01004142,349,22.105527542835823,Sutton 012D
E01000852,348,10.931742438365184,Camden 026C
E01001427,348,17.212446219754373,Enfield 030C
E01004693,346,7.828949645474856,Westminster 017B
E01003102,346,13.541375695029595,Lambeth 004A
E01001437,346,20.267215220671613,Enfield 014A
E01003090,345,14.421931894690799,Lambeth 012D
E01004246,344,18.88103520333384,Tower Hamlets 018B
E01004694,344,8.45895161680304,Westminster 016C
E01003951,343,18.709404441834003,Southwark 033E
E01002839,343,9.387892029758959,Kensington and Chelsea 013C
E01032573,343,7.170011617618736,Hounslow 029E
E01003169,343,17.21209187578756,Lambeth 025D
E01002795,342,12.029398111311965,Islington 013D
E01004293,342,15.498386781042315,Tower Hamlets 027B
E01033707,342,14.23452538651962,Hackney 021I
E01004422,339,16.764440636879474,Waltham Forest 022A
E01001662,339,21.26680329083145,Greenwich 037A
E01033724,338,14.173776945173056,Hillingdon 016F
E01004022,337,16.124888904471312,Southwark 004C
E01002678,337,8.753955823918943,Hounslow 009B
E01003055,337,15.344502356104588,Lambeth 016D
E01003778,337,21.043227232585238,Redbridge 014E
E01004653,336,7.251651813490601,Westminster 014A
E01003058,336,15.103028845393412,Lambeth 015E
E01003324,336,21.632622555591468,Lewisham 020E
E01002031,335,12.668084021939048,Haringey 016D
E01033726,333,23.99649978312781,Greenwich 034E
E01002747,333,12.337953691442356,Islington 006B
E01003215,332,19.251847055956905,Lewisham 005E
E01001751,332,13.684885463195808,Hackney 031B
E01004057,331,17.886378953748412,Southwark 008B
E01002805,330,11.545652091756537,Islington 003B
E01004202,330,15.216105463356438,Tower Hamlets 005B
E01001756,330,13.947826577599095,Hackney 030C
E01000883,328,7.201488500659711,Camden 008C
E01004203,327,15.606830446895838,Tower Hamlets 005C
E01001507,327,19.02185737172482,Enfield 012D
E01000211,326,6.466802231205789,Barnet 035C
E01033489,326,12.88750385239097,Islington 022G
E01000920,325,11.93559252350802,Camden 027D
E01000872,325,4.893847593482944,Camden 005B
E01000933,324,6.241933921495134,Camden 020C
E01002036,323,16.00648260578186,Haringey 002A
E01004005,323,17.77844299122555,Southwark 023D
E01002821,323,10.085774507458082,Kensington and Chelsea 014A
E01002852,323,5.6815409238637935,Kensington and Chelsea 001A
E01004326,322,16.06014913247995,Tower Hamlets 017D
E01000144,322,5.911715372781806,Barnet 038C
E01002706,321,13.345883605343912,Islington 023E
E01002914,320,10.617689326621827,Kensington and Chelsea 019E
E01003186,320,14.620435860785378,Lambeth 007D
E01003250,320,18.140868949789276,Lewisham 001E
E01004238,318,18.84871935720445,Tower Hamlets 008D
E01002859,318,10.884482436216404,Kensington and Chelsea 012C
E01004212,318,15.804067057610018,Tower Hamlets 011D
E01002069,316,14.485750225152298,Haringey 024B
E01002066,315,14.966619898065519,Haringey 025A
E01001249,315,5.830265288742837,Ealing 028A
E01002077,315,15.275932545766667,Haringey 012B
E01002068,315,15.188386249196062,Haringey 025B
E01003213,314,20.00141786446998,Lewisham 008C
E01033093,314,11.815010401506392,Wandsworth 010F
E01001536,314,17.349762895002673,Enfield 008B
E01003619,314,19.548452171005472,Newham 012D
E01004392,313,17.473428496758004,Waltham Forest 017A
E01002831,312,6.643863195423399,Kensington and Chelsea 004C
E01033587,312,24.758303454010246,Barking and Dagenham 021E
E01003016,311,12.834332989923471,Lambeth 036C
E01032722,311,14.715628610235937,Southwark 012F
E01000913,311,8.995767311684144,Camden 001E
E01000490,310,5.270898730501806,Brent 023A
E01001087,310,19.751857219890663,Croydon 003C
E01003979,310,15.338571017119675,Southwark 006E
E01004290,309,16.55087592849597,Tower Hamlets 016D
E01002734,309,11.833475360245648,Islington 005B
E01001994,309,8.881615121670057,Haringey 030A
E01001794,306,15.6503160721671,Hackney 011C
E01004662,305,9.117116634517814,Westminster 012D
E01000797,305,22.936925195343434,Bromley 013E
E01000251,305,12.590059060799867,Barnet 002D
E01000939,304,11.345408611667283,Camden 029B
E01003475,303,15.251795400464712,Merton 001D
E01003515,303,21.89032835237006,Newham 036D
E01004063,303,17.480653564343047,Southwark 025C
E01002570,303,7.255332485603242,Hounslow 001B
E01004438,302,20.25986993437422,Waltham Forest 024C
E01004215,301,19.558258685654266,Tower Hamlets 028A
