LSOA_code,crime_count,avg_distance_to_stadium,LSOA_name
E01033583,727,1.1368603385515204,Newham 013G
E01032764,327,0.6796233350135352,Tower Hamlets 004E
E01004224,307,0.6229911826291629,Tower Hamlets 001C
E01001849,292,1.1225317724070965,Hackney 018D
E01003617,263,1.3623704881740926,Newham 012B
E01004234,240,1.725718924468108,Tower Hamlets 003E
E01004238,191,1.657667848846001,Tower Hamlets 008D
E01003619,175,1.2788830449820134,Newham 012D
E01003618,172,1.6841831577264272,Newham 012C
E01004267,172,1.4713178959372821,Tower Hamlets 012D
E01004230,159,1.7759688790133976,Tower Hamlets 003B
E01032765,159,0.8978561834662171,Tower Hamlets 004F
E01004226,155,1.1597580903827989,Tower Hamlets 001D
E01001848,146,1.654084430024547,Hackney 018C
E01004228,145,1.4695155300272082,Tower Hamlets 003A
E01004232,144,1.7940524190412372,Tower Hamlets 003C
E01004229,137,1.4296532693305155,Tower Hamlets 004C
E01033578,137,0.7219634544552215,Newham 013E
E01003616,136,1.694866281358993,Newham 012A
E01004233,134,1.2928394597148394,Tower Hamlets 003D
E01004239,132,1.6848518547369806,Tower Hamlets 008E
E01033586,128,1.1377050780499718,Newham 040D
E01001846,127,1.2844033368526213,Hackney 018A
E01004225,126,0.9926551339222758,Tower Hamlets 004A
E01004222,125,1.0982870489983518,Tower Hamlets 001A
E01001847,120,1.7183363693961655,Hackney 018B
E01004223,118,0.881331363182671,Tower Hamlets 001B
E01004236,115,1.3163234348607575,Tower Hamlets 008B
E01004231,105,1.2708019112738993,Tower Hamlets 004D
E01001836,104,1.8976206249159069,Hackney 022A
E01001841,98,1.7919439476296095,Hackney 022C
E01033579,96,0.8568168156455558,Newham 040C
E01003636,93,1.7309488470020906,Newham 020E
E01003559,91,1.8679957123636246,Newham 009D
E01034220,89,0.8708871319738387,Newham 039D
E01004269,87,1.853316637143883,Tower Hamlets 014A
E01001786,83,1.8404265766824066,Hackney 013A
E01003633,81,1.7692664068588813,Newham 020C
E01032784,80,1.1235712778341305,Tower Hamlets 004G
E01004240,75,1.7895524623913264,Tower Hamlets 012A
E01004268,75,1.6289280383903728,Tower Hamlets 012E
E01001844,73,1.8912951509631895,Hackney 022D
E01001850,73,1.82451107164174,Hackney 019F
E01004337,73,1.906220337679224,Waltham Forest 027B
E01004242,71,1.9331807755909172,Tower Hamlets 012C
E01034200,66,1.2224028385066212,Newham 012F
E01034217,66,0.9345016158969057,Newham 038E
E01003615,64,1.8978628307665915,Newham 039A
E01001845,61,1.6356927735867655,Hackney 022E
E01004336,57,1.8379700479887682,Waltham Forest 026A
E01003634,54,1.4313045715688395,Newham 020D
E01034215,52,1.1441274965857018,Newham 038C
E01003631,50,1.73771729334196,Newham 020A
E01004241,49,1.9318600647390716,Tower Hamlets 012B
E01034219,47,1.3461612330001698,Newham 039C
E01035665,47,1.4466122275482984,Tower Hamlets 008F
E01035657,46,0.6569715922387832,Tower Hamlets 001E
E01034213,45,1.0967406041288599,Newham 038A
E01003549,45,1.867502845536139,Newham 006C
E01004235,45,1.1279926421671727,Tower Hamlets 008A
E01003635,40,1.9348297287461,Newham 016D
E01004237,40,1.350945458648901,Tower Hamlets 008C
E01034218,37,1.4523392214052422,Newham 039B
E01034222,36,0.637405702891496,Newham 040A
E01004430,35,1.94801439885065,Waltham Forest 026D
E01034221,35,0.7923384895585853,Newham 039E
E01001730,34,1.9848661113697215,Hackney 019B
E01035663,34,0.9934412192650216,Tower Hamlets 004I
E01001790,32,1.9250282974220707,Hackney 013D
E01035658,31,0.5176618869953253,Tower Hamlets 001F
E01034216,30,1.2197388743614508,Newham 038D
E01034199,28,1.476883583537045,Newham 012E
E01001785,27,1.9347163107377607,Hackney 015B
E01035674,25,1.7484636302625496,Tower Hamlets 014F
E01035667,23,1.8077375661722879,Tower Hamlets 008H
E01035666,23,1.5854217089461997,Tower Hamlets 008G
E01004429,19,1.9066693218336883,Waltham Forest 026C
E01003548,19,1.9138021490780677,Newham 006B
E01004248,15,1.9464061869685345,Tower Hamlets 018C
E01035662,14,0.974258333941988,Tower Hamlets 004H
E01003632,13,1.9255076702928722,Newham 020B
E01034223,12,0.8460448043956137,Newham 040B
E01035675,12,1.9237605922610426,Tower Hamlets 014G
E01003630,10,1.993506419537479,Newham 021C
E01003554,10,1.939530971208366,Newham 009C
E01035659,10,0.7170434759047406,Tower Hamlets 001G
E01003496,8,1.9553158901129082,Newham 027A
E01035672,7,1.9682434489850802,Tower Hamlets 012G
E01004338,6,1.9705649113144468,Waltham Forest 027C
E01003500,5,1.8483719233355314,Newham 027C
E01001729,4,1.9965916544519846,Hackney 019A
E01001733,3,1.984343208429913,Hackney 015A
E01003637,2,1.940642158925037,Newham 021D
E01004270,2,1.9360100408559513,Tower Hamlets 014B
E01034214,1,1.0562158177052927,Newham 038B
