Ward ID,Ward Name,Average Risk,Max Risk,Officer-Hours,Patrol Times,Top Target LSOAs
W628,Ward_628,39.78239,39.78239,800,"19:00-21:00, 17:00-19:00, 15:00-17:00, 13:00-15:00",City of London 001F (100 officers)
W365,Ward_365,39.2169965,49.24594,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Redbridge 010B (21 officers), Redbridge 010D (20 officers), Redbridge 008D (17 officers)"
W341,Ward_341,37.96341375,72.20643,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Waltham Forest 010C (48 officers), Waltham Forest 007D (28 officers), Waltham Forest 007C (14 officers)"
W509,Ward_509,37.71157016666667,60.131912,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Camden 006A (27 officers), Camden 006D (24 officers), Camden 006B (16 officers)"
W117,Ward_117,36.424389999999995,44.404465,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Havering 010C (18 officers), Havering 004D (18 officers), Havering 007C (17 officers)"
W478,Ward_478,35.5039835,57.57075,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Westminster 018A (41 officers), Westminster 018C (29 officers), Westminster 020A (17 officers)"
W121,Ward_121,34.077966625,47.2068,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Havering 002A (18 officers), Havering 001A (17 officers), Havering 002C (15 officers)"
W346,Ward_346,33.97112166666667,41.245945,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Waltham Forest 024D (21 officers), Waltham Forest 021E (19 officers), Waltham Forest 024C (18 officers)"
W067,Ward_67,33.624593833333336,100.0,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Hounslow 011E (50 officers), Hounslow 004C (15 officers), Hounslow 004D (14 officers)"
W286,Ward_286,32.96787,40.00971,800,"20:00-22:00, 18:00-20:00, 16:00-18:00, 14:00-16:00","Bexley 018A (61 officers), Bexley 022C (39 officers)"
