WD21CD,WD21NM,base_weighted_risk,population,average_risk_score_2025,stadium_risk_factor,explanation,enhanced_weighted_risk,risk_proportion,allocated_hours,officers_needed,base_officers,officer_change
E05000026,Abbey,83883.246147,8279,9.657053083333333,1.0,No stadium influence,83883.246147,0.0013883266822100652,176.8728193135623,88,88,0
E05000027,Alibon,41204.3995643,4684,8.78119155,1.0,No stadium influence,41204.3995643,0.0006819617738602307,86.88192998979339,43,43,0
E05000028,Becontree,70695.7969664,8419,8.6132042,1.0,No stadium influence,70695.7969664,0.0011700651292936247,149.0662974720078,75,75,0
E05000029,Chadwell Heath,52891.5550776,5604,9.135802266666667,1.0,No stadium influence,52891.5550776,0.0008753924120811045,111.52499329913272,56,56,0
E05000030,Eastbrook,73964.0503156,8727,8.416920185714286,1.0,No stadium influence,73964.0503156,0.0012241570193590769,155.95760426634638,78,78,0
E05000031,Eastbury,56205.7027236,6777,8.3104958,1.0,No stadium influence,56205.7027236,0.0009302438850160253,118.51307095104163,59,59,0
E05000032,Gascoigne,45118.892728,4114,10.804488319999999,1.0,No stadium influence,45118.892728,0.0007467493870740758,95.13587191323725,48,48,0
E05000033,Goresbrook,75681.85215,7461,9.881657785714285,1.0,No stadium influence,75681.85215,0.0012525878470987138,159.57969172037613,80,80,0
E05000034,Heath,72122.340722,8023,8.773956266666668,1.0,No stadium influence,72122.340722,0.0011936754311144308,152.07424992397847,76,76,0
E05000035,Longbridge,61513.1356278,6525,9.685414216666667,1.0,No stadium influence,61513.1356278,0.0010180856299817338,129.7041092596729,65,65,0
E05000036,Mayesbrook,77348.626934,8448,9.02908925,1.0,No stadium influence,77348.626934,0.0012801741412891761,163.09418560024105,82,82,0
E05000037,Parsloes,73047.45193149999,8933,8.028030616666667,1.0,No stadium influence,73047.45193149999,0.001208986671858616,154.02490199478768,77,77,0
E05000038,River,77956.678463,7932,9.930306857142856,1.0,No stadium influence,77956.678463,0.00129023782147139,164.37629845545507,82,82,0
E05000039,Thames,61344.778219,5450,10.859535,1.0,No stadium influence,61344.778219,0.0010152991965338056,129.34911763840682,65,65,0
E05000040,Valence,65031.706283299995,6949,9.033423716666666,1.0,No stadium influence,65031.706283299995,0.0010763204474053642,137.1232249994434,69,69,0
E05000041,Village,59371.3596935,5661,10.228477583333333,1.0,No stadium influence,59371.3596935,0.0009826377328928057,125.18804717054344,63,63,0
E05000042,Whalebone,52553.3147497,4898,10.457181779999999,1.0,No stadium influence,52553.3147497,0.0008697942969175576,110.81179342729683,55,55,0
E05000043,Brunswick Park,139030.83164,14975,9.07870314,1.0,No stadium influence,139030.83164,0.0023010579833476143,293.15478707848604,147,147,0
E05000044,Burnt Oak,120105.469508,11774,10.082803555555556,1.0,No stadium influence,120105.469508,0.0019878299381155657,253.24953411592307,127,127,0
E05000045,Childs Hill,197899.486614,14261,15.670442166666668,1.0,No stadium influence,197899.486614,0.003275375599799865,417.2828514145028,209,209,0
E05000046,Colindale,76928.582559,6998,10.734218499999999,1.0,No stadium influence,76928.582559,0.0012732221116490403,162.20849702408773,81,81,0
E05000047,Coppetts,102262.0904286,11248,9.094847380000001,1.0,No stadium influence,102262.0904286,0.0016925094728905104,215.62570684625103,108,108,0
E05000048,East Barnet,116655.8656634,13824,8.561332539999999,1.0,No stadium influence,116655.8656634,0.0019307365698865888,245.9758390035514,123,123,0
E05000049,East Finchley,124404.8869416,12543,9.60978653,1.0,No stadium influence,124404.8869416,0.0020589883185454998,262.31511178269665,131,131,0
E05000050,Edgware,170720.2899435,15675,10.748546450000001,1.0,No stadium influence,170720.2899435,0.0028255407916360944,359.9738968544384,180,180,0
E05000051,Finchley Church End,128461.84877899999,10179,12.244342777777778,1.0,No stadium influence,128461.84877899999,0.0021261338884451192,270.8694573879082,135,135,0
E05000052,Garden Suburb,115708.373057,10730,10.4859767,1.0,No stadium influence,115708.373057,0.0019150549012926401,243.97799442468235,122,122,0
E05000053,Golders Green,244946.6673714,21915,11.510759190909091,1.0,No stadium influence,244946.6673714,0.004054039509083904,516.4846334572894,258,258,0
E05000054,Hale,135342.365968,13241,9.87415895,1.0,No stadium influence,135342.365968,0.0022400112839878923,285.37743758005746,143,143,0
E05000055,Hendon,130042.87972669999,10425,12.030756030000001,1.0,No stadium influence,130042.87972669999,0.0021523010618785983,274.20315528333344,137,137,0
E05000056,High Barnet,110626.6675662,11338,10.355297144444444,1.0,No stadium influence,110626.6675662,0.0018309491036742757,233.26291580810272,117,117,0
E05000057,Mill Hill,115315.514058,10860,11.258314333333333,1.0,No stadium influence,115315.514058,0.0019085528087329146,243.14962783257332,122,122,0
E05000058,Oakleigh,126936.28455099999,14621,9.13789871,1.0,No stadium influence,126936.28455099999,0.002100884728208211,267.6527143737261,134,134,0
E05000059,Totteridge,107979.288547,10810,10.265987169999999,1.0,No stadium influence,107979.288547,0.0017871331201602671,227.68075950841802,114,114,0
E05000060,Underhill,106196.7508485,10871,9.80484412,1.0,No stadium influence,106196.7508485,0.0017576308683692951,223.9221726302482,112,112,0
E05000061,West Finchley,128480.532691,13678,8.8633044,1.0,No stadium influence,128480.532691,0.0021264431203209602,270.90885352889035,135,135,0
E05000062,West Hendon,139387.3275586,12304,10.96450911,1.0,No stadium influence,139387.3275586,0.0023069582413684357,293.9064799503387,147,147,0
E05000063,Woodhouse,134846.65942450002,12462,10.55095095,1.0,No stadium influence,134846.65942450002,0.0022318069922789003,284.3322108163319,142,142,0
E05000085,Alperton,94388.7557901,8747,9.2940960125,1.0,No stadium influence,94388.7557901,0.0015622002507433032,199.02431194469682,100,100,0
E05000086,Barnhill,74588.3118784,8763,8.401046125,1.0,No stadium influence,74588.3118784,0.0012344889869941227,157.27389694305123,79,79,0
E05000087,Brondesbury Park,112869.7881643,10195,11.198725075,1.0,No stadium influence,112869.7881643,0.0018680743261805651,237.992669155404,119,119,0
E05000088,Dollis Hill,119252.817348,10444,11.28939075,1.0,No stadium influence,119252.817348,0.001973717945569431,251.45166626554553,126,126,0
E05000089,Dudden Hill,121349.00745399999,11502,10.136343444444444,1.0,No stadium influence,121349.00745399999,0.0020084113651593766,255.8716079213046,128,128,0
E05000090,Fryent,69734.3679461,9142,8.129947125,1.0,No stadium influence,69734.3679461,0.0011541528032542336,147.03906713458937,74,74,0
E05000091,Harlesden,96140.255607,9145,10.607520375,1.0,No stadium influence,96140.255607,0.001591188803778399,202.71745360136802,101,101,0
E05000092,Kensal Green,79146.7985322,7932,9.9383879875,1.0,No stadium influence,79146.7985322,0.0013099351451086815,166.885737486846,83,83,0
E05000093,Kenton,68974.88294909999,7994,8.444054557142858,1.0,No stadium influence,68974.88294909999,0.0011415827927395527,145.43764779501902,73,73,0
E05000094,Kilburn,129172.560963,8429,15.228130555555557,1.0,No stadium influence,129172.560963,0.002137896674624017,272.36803634709975,136,136,0
E05000095,Mapesbury,112523.55984999999,8987,12.344736555555556,1.0,No stadium influence,112523.55984999999,0.0018623440042276336,237.26262613860052,119,119,0
E05000096,Northwick Park,76501.2332575,9309,8.411506124999999,1.0,No stadium influence,76501.2332575,0.001266149180340963,161.30740557543868,81,81,0
E05000097,Preston,99796.2122405,10680,9.43889388888889,1.0,No stadium influence,99796.2122405,0.0016516974557015274,210.4262558563746,105,105,0
E05000098,Queens Park,123007.913319,10953,12.506696250000001,1.0,No stadium influence,123007.913319,0.0020358674232096126,259.36950971690464,130,130,0
E05000099,Queensbury,58425.150575,6405,9.616557428571427,1.0,No stadium influence,58425.150575,0.0009669773069257187,123.19290890233657,62,62,0
E05000100,Stonebridge,116363.4937732,11639,10.019932822222223,1.0,No stadium influence,116363.4937732,0.0019258976096062305,245.35935546383377,123,123,0
E05000101,Sudbury,102883.1646556,12360,8.5400787875,1.0,No stadium influence,102883.1646556,0.0017027886878778042,216.93527883563226,108,108,0
E05000102,Tokyngton,74620.331869,8148,9.0966364375,1.0,No stadium influence,74620.331869,0.0012350189403442374,157.34141299985586,79,79,0
E05000103,Welsh Harp,92829.169571,8815,10.606416875,1.0,No stadium influence,92829.169571,0.0015363880026408724,195.73583153644714,98,98,0
E05000104,Wembley Central,78054.83175350001,9334,8.317998666666668,1.0,No stadium influence,78054.83175350001,0.0012918623274175364,164.58326051299414,82,82,0
E05000105,Willesden Green,125640.526365,12132,10.538572975000001,1.0,No stadium influence,125640.526365,0.002079439019488697,264.92053108286,132,132,0
E05000106,Bickley,127693.0139834,14870,8.884314844444443,1.0,No stadium influence,127693.0139834,0.0021134091321919762,269.24832344125775,135,135,0
E05000107,Biggin Hill,44835.1453422,6928,6.2502131285714295,1.0,No stadium influence,44835.1453422,0.0007420531684033874,94.53757365459155,47,47,0
E05000108,Bromley Common and Keston,82710.6760235,9334,8.245697077777777,1.0,No stadium influence,82710.6760235,0.001368919822509326,174.40038538768812,87,87,0
E05000109,Bromley Town,91801.9912887,9186,9.907083211111111,1.0,No stadium influence,91801.9912887,0.0015193874801026205,193.56996496507386,97,97,0
E05000110,Chelsfield and Pratts Bottom,127428.3812471,15117,8.847226322222221,1.0,No stadium influence,127428.3812471,0.002109029274405503,268.6903295592611,134,134,0
E05000111,Chislehurst,113602.5240735,11014,9.99355555,1.0,No stadium influence,113602.5240735,0.0018802016204911966,239.53768645057843,120,120,0
E05000112,Clock House,116615.608118,12745,8.905712990909091,1.0,No stadium influence,116615.608118,0.0019300702792146571,245.8909535719473,123,123,0
E05000113,Copers Cope,118527.1064065,10551,10.740744722222223,1.0,No stadium influence,118527.1064065,0.0019617069194118285,249.92146153306695,125,125,0
E05000114,Cray Valley East,148911.20400599999,12225,11.393037,1.0,No stadium influence,148911.20400599999,0.0024645850905586335,313.9881405371699,157,157,0
E05000115,Cray Valley West,119253.9680764,12336,9.56675129090909,1.0,No stadium influence,119253.9680764,0.0019737369909332563,251.45409264489686,126,126,0
E05000116,Crystal Palace,80132.25021,8072,9.950794583333334,1.0,No stadium influence,80132.25021,0.0013262450630143483,168.96362102802797,84,84,0
E05000117,Darwin,41037.286298,4246,9.734951,1.0,No stadium influence,41037.286298,0.00067919593184514,86.52956171707083,43,43,0
E05000118,Farnborough and Crofton,74209.3619077,9172,8.080724266666667,1.0,No stadium influence,74209.3619077,0.0012282170986289112,156.47485836532329,78,78,0
E05000119,Hayes and Coney Hall,85842.9809154,11045,8.18526492,1.0,No stadium influence,85842.9809154,0.001420761670053246,181.00503676478354,91,91,0
E05000120,Kelsey and Eden Park,113293.5445373,12246,9.17858377,1.0,No stadium influence,113293.5445373,0.001875087791996629,238.88618470037053,119,119,0
E05000121,Mottingham and Chislehurst North,43366.317722399996,5224,8.183315485714285,1.0,No stadium influence,43366.317722399996,0.0007177430389102838,91.44046315717016,46,46,0
E05000122,Orpington,177590.6422442,17433,10.72232083,1.0,No stadium influence,177590.6422442,0.002939249951132972,374.4604437743406,187,187,0
E05000123,Penge and Cator,150872.5977855,16690,9.109943163636364,1.0,No stadium influence,150872.5977855,0.002497047536201578,318.12385611208106,159,159,0
E05000124,Petts Wood and Knoll,78482.0549592,9363,8.139842355555555,1.0,No stadium influence,78482.0549592,0.0012989331717514956,165.48408608114053,83,83,0
E05000125,Plaistow and Sundridge,114356.4007639,13338,8.64485416,1.0,No stadium influence,114356.4007639,0.001892678809589773,241.12728034173708,121,121,0
E05000126,Shortlands,56668.354033999996,6620,8.76099365,1.0,No stadium influence,56668.354033999996,0.0009379010893838934,119.48859878750802,60,60,0
E05000127,West Wickham,93013.9613584,11432,7.824991129999999,1.0,No stadium influence,93013.9613584,0.0015394464366057564,196.12547602357336,98,98,0
E05000128,Belsize,106668.5760993,10802,9.777191025,1.0,No stadium influence,106668.5760993,0.0017654399078988116,224.9170442663086,112,112,0
E05000129,Bloomsbury,121288.032654,4626,29.165205125,1.0,No stadium influence,121288.032654,0.0020074021893624113,255.7430389247712,128,128,0
E05000130,Camden Town with Primrose Hill,266634.566395,14867,16.4778190625,1.0,No stadium influence,266634.566395,0.004412989481558454,562.214859950547,281,281,0
E05000131,Cantelowes,39106.1470118,3935,10.14508448,1.0,No stadium influence,39106.1470118,0.0006472342193310917,82.45763954278108,41,41,0
E05000132,Fortune Green,89550.884993,8557,11.004907571428571,1.0,No stadium influence,89550.884993,0.0014821300886881951,188.82337329887605,94,94,0
E05000133,Frognal and Fitzjohns,113179.6597255,9402,12.1220451875,1.0,No stadium influence,113179.6597255,0.0018732029183158544,238.64605179343985,119,119,0
E05000134,Gospel Oak,94362.706214,9797,9.873722571428573,1.0,No stadium influence,94362.706214,0.0015617691119495503,198.9693848623727,99,99,0
E05000135,Hampstead Town,89478.093003,8715,10.30421157142857,1.0,No stadium influence,89478.093003,0.0014809253300908578,188.66988705357528,94,94,0
E05000136,Haverstock,87601.58058400001,9852,9.410973,1.0,No stadium influence,87601.58058400001,0.001449867730624204,184.71314888152358,92,92,0
E05000137,Highgate,92985.230121,8646,10.44812157142857,1.0,No stadium influence,92985.230121,0.0015389709144326463,196.06489449871916,98,98,0
E05000138,Holborn and Covent Garden,555026.3683959,12553,32.91712751428572,1.0,No stadium influence,555026.3683959,0.00918607650476268,1170.3061467067653,585,585,0
E05000139,Kentish Town,138180.33290819998,12775,11.113738425,1.0,No stadium influence,138180.33290819998,0.0022869816315517558,291.3614598596937,146,146,0
E05000140,Kilburn,175396.56159599999,11613,15.31495657142857,1.0,No stadium influence,175396.56159599999,0.0029029363742659213,369.8340940814784,185,185,0
E05000141,King's Cross,84422.286502,7242,11.383630166666668,1.0,No stadium influence,84422.286502,0.0013972481789571395,178.00941799913957,89,89,0
E05000142,Regent's Park,79841.591139,8067,10.760766083333332,1.0,No stadium influence,79841.591139,0.001321434451095628,168.35074906958303,84,84,0
E05000143,St Pancras and Somers Town,118218.742237,11357,10.3658512,1.0,No stadium influence,118218.742237,0.001956603275668665,249.2712573201879,125,125,0
E05000144,Swiss Cottage,102076.8601905,9249,11.1645328125,1.0,No stadium influence,102076.8601905,0.0016894437822583704,215.2351378597164,108,108,0
E05000145,West Hampstead,129594.81298080001,8947,13.5904551,1.0,No stadium influence,129594.81298080001,0.0021448852423041646,273.2583798695506,137,137,0
E05000170,Acton Central,80317.05633729999,7824,10.372811122222222,1.0,No stadium influence,80317.05633729999,0.0013293037343146562,169.3532957516872,85,85,0
E05000171,Cleveland,133261.30419619998,15497,8.611327733333333,1.0,No stadium influence,133261.30419619998,0.0022055682489621115,280.989394917773,140,140,0
E05000172,Dormers Wells,119967.9524084,14425,8.1326506375,1.0,No stadium influence,119967.9524084,0.0019855539334614277,252.9595711229859,126,126,0
E05000173,Ealing Broadway,56554.7571759,5654,9.548783033333335,1.0,No stadium influence,56554.7571759,0.0009360209815392461,119.24907304809996,60,60,0
E05000174,Ealing Common,100214.4769035,10399,9.69973048888889,1.0,No stadium influence,100214.4769035,0.0016586200298571688,211.3081918038033,106,106,0
E05000175,East Acton,120921.464377,8076,14.566073833333332,1.0,No stadium influence,120921.464377,0.0020013352267305765,254.97010788547544,127,127,0
E05000176,Elthorne,120608.0854424,10507,11.443781425000001,1.0,No stadium influence,120608.0854424,0.001996148585100312,254.30932974177975,127,127,0
E05000177,Greenford Broadway,117585.3278481,12551,9.43787202,1.0,No stadium influence,117585.3278481,0.001946119822328476,247.93566536464783,124,124,0
E05000178,Greenford Green,90325.0478961,9012,10.1746517625,1.0,No stadium influence,90325.0478961,0.0014949430288653963,190.4557418774515,95,95,0
E05000179,Hanger Hill,132164.1648685,12107,10.826048766666666,1.0,No stadium influence,132164.1648685,0.0021874098219494204,278.67601131635615,139,139,0
E05000180,Hobbayne,142741.2100445,17257,8.328294077777777,1.0,No stadium influence,142741.2100445,0.002362467353831873,300.97834087818063,150,150,0
E05000181,Lady Margaret,81057.68882,8931,9.2906770625,1.0,No stadium influence,81057.68882,0.0013415617224669266,170.91496344228645,85,85,0
E05000182,Northfield,71992.409842,7550,9.75575795,1.0,No stadium influence,71992.409842,0.0011915249837267496,151.8002829267879,76,76,0
E05000183,North Greenford,104342.4224375,11113,9.4660264125,1.0,No stadium influence,104342.4224375,0.0017269404298273722,220.0122107600072,110,110,0
E05000184,Northolt Mandeville,81095.6760294,9526,8.609240355555556,1.0,No stadium influence,81095.6760294,0.001342190437482322,170.99506173524782,85,85,0
E05000185,Northolt West End,123178.7632763,14176,8.439457022222221,1.0,No stadium influence,123178.7632763,0.0020386951100871374,259.7297570251013,130,130,0
E05000186,Norwood Green,93739.491637,8198,10.9403577,1.0,No stadium influence,93739.491637,0.0015514544726653826,197.65529981756976,99,99,0
E05000187,Perivale,121252.1752984,12507,10.207795622222223,1.0,No stadium influence,121252.1752984,0.0020068087249244027,255.66743155536892,128,128,0
E05000188,South Acton,116919.389881,10999,10.662735222222222,1.0,No stadium influence,116919.389881,0.001935098080909439,246.53149550786253,123,123,0
E05000189,Southall Broadway,104243.013752,8911,11.559930328571427,1.0,No stadium influence,104243.013752,0.0017252951462116044,219.8026016273584,110,110,0
E05000190,Southall Green,84763.5616281,8707,9.96162735,1.0,No stadium influence,84763.5616281,0.0014028965221639454,178.72901692368663,89,89,0
E05000191,Southfield,83635.1212862,8540,10.1209038625,1.0,No stadium influence,83635.1212862,0.0013842200413659016,176.34963327001586,88,88,0
E05000192,Walpole,106318.52052,11948,8.581287875,1.0,No stadium influence,106318.52052,0.0017596462420200853,224.17893123335887,112,112,0
