Ward,12:00-14:00,13:00-15:00,14:00-16:00,15:00-17:00,16:00-18:00,17:00-19:00,18:00-20:00,19:00-21:00,20:00-22:00
Ward_1,0,0,100,0,100,0,100,0,100
Ward_10,0,0,100,0,100,0,100,0,100
Ward_100,0,0,100,0,100,0,100,0,100
Ward_101,0,0,100,0,100,0,100,0,100
Ward_102,0,0,100,0,100,0,100,0,100
Ward_103,0,0,100,0,100,0,100,0,100
Ward_104,0,0,100,0,100,0,100,0,100
Ward_105,0,0,100,0,100,0,100,0,100
Ward_106,0,0,100,0,100,0,100,0,100
Ward_107,0,0,100,0,100,0,100,0,100
Ward_108,0,100,0,100,0,0,100,0,100
Ward_109,0,0,100,0,100,0,100,0,100
Ward_11,0,0,100,0,100,0,100,0,100
Ward_110,0,100,0,100,0,100,0,100,0
Ward_111,0,0,100,0,100,0,100,0,100
Ward_112,0,0,100,0,100,0,100,0,100
Ward_113,0,0,100,0,100,0,100,0,100
Ward_114,0,100,0,100,0,100,0,100,0
Ward_115,0,0,100,0,100,0,100,0,100
Ward_116,0,0,100,0,100,0,100,0,100
Ward_117,0,0,100,0,100,0,100,0,100
Ward_118,0,0,100,0,100,0,100,0,100
Ward_119,0,0,100,0,100,0,100,0,100
Ward_12,0,0,100,0,100,0,100,0,100
Ward_120,0,0,100,0,100,0,100,0,100
Ward_121,0,0,100,0,100,0,100,0,100
Ward_122,0,0,100,0,100,0,100,0,100
Ward_123,0,0,100,0,100,0,100,0,100
Ward_124,0,100,0,100,0,100,0,100,0
Ward_125,0,0,100,0,100,0,100,0,100
Ward_126,0,0,100,0,100,0,100,0,100
Ward_127,0,100,0,100,0,100,0,100,0
Ward_128,0,0,100,0,100,0,100,0,100
Ward_129,0,100,0,100,0,100,0,100,0
Ward_13,0,100,0,100,0,100,0,100,0
Ward_130,0,0,100,0,100,0,100,0,100
Ward_131,0,0,100,0,100,0,100,0,100
Ward_132,0,0,100,0,100,0,100,0,100
Ward_133,0,0,100,0,100,0,100,0,100
Ward_134,0,0,100,0,100,0,100,0,100
Ward_135,0,0,100,0,100,0,100,0,100
Ward_136,0,100,0,100,0,100,0,100,0
Ward_137,0,0,100,0,100,0,100,0,100
Ward_138,0,0,100,0,100,0,100,0,100
Ward_139,0,0,100,0,100,0,100,0,100
Ward_14,0,0,100,0,100,0,100,0,100
Ward_140,0,100,0,100,0,100,0,100,0
Ward_141,0,100,0,100,0,100,0,100,0
Ward_142,0,0,100,0,100,0,100,0,100
Ward_143,0,0,100,0,100,0,100,0,100
Ward_144,0,0,100,0,100,0,100,0,100
Ward_145,0,0,100,0,100,0,100,0,100
Ward_146,0,0,100,0,100,0,100,0,100
Ward_147,0,0,100,0,100,0,100,0,100
Ward_148,0,0,100,0,100,0,100,0,100
Ward_149,0,0,100,0,100,0,100,0,100
Ward_15,0,0,100,0,100,0,100,0,100
Ward_150,0,0,100,0,100,0,100,0,100
Ward_151,0,100,0,100,0,100,0,100,0
Ward_152,0,100,0,100,0,100,0,100,0
Ward_153,0,0,100,0,100,0,100,0,100
Ward_154,0,0,100,0,100,0,100,0,100
Ward_155,0,100,0,100,0,100,0,100,0
Ward_156,0,0,100,0,100,0,100,0,100
Ward_157,0,0,100,0,100,0,100,0,100
Ward_158,0,100,0,100,0,100,0,100,0
Ward_159,0,0,100,0,100,0,100,0,100
Ward_16,0,100,0,100,0,100,0,100,0
Ward_160,0,0,100,0,100,0,100,0,100
Ward_161,0,0,100,0,100,0,100,0,100
Ward_162,0,100,0,100,0,100,0,100,0
Ward_163,0,0,100,0,100,0,100,0,100
Ward_164,0,0,100,0,100,0,100,0,100
Ward_165,0,0,100,0,100,0,100,0,100
Ward_166,0,100,0,100,0,100,0,100,0
Ward_167,0,0,100,0,100,0,100,0,100
Ward_168,0,0,100,0,100,0,100,0,100
Ward_169,0,0,100,0,100,0,100,0,100
Ward_17,0,100,0,100,0,100,0,100,0
Ward_170,0,0,100,0,100,0,100,0,100
Ward_171,0,0,100,0,100,0,100,0,100
Ward_172,0,0,100,0,100,0,100,0,100
Ward_173,0,0,100,0,100,0,100,0,100
Ward_174,0,100,0,100,0,100,0,100,0
Ward_175,0,0,100,0,100,0,100,0,100
Ward_176,0,0,100,0,100,0,100,0,100
Ward_177,0,100,0,100,0,0,100,0,100
Ward_178,0,0,100,0,100,0,100,0,100
Ward_179,0,0,100,0,100,0,100,0,100
Ward_18,0,0,100,0,100,0,100,0,100
Ward_180,0,0,100,0,100,0,100,0,100
Ward_181,0,0,100,0,100,0,100,0,100
Ward_182,0,0,100,0,100,0,100,0,100
Ward_183,0,0,100,0,100,0,100,0,100
Ward_184,0,0,100,0,100,0,100,0,100
Ward_185,0,0,100,0,100,0,100,0,100
Ward_186,0,0,100,0,100,0,100,0,100
Ward_187,0,0,100,0,100,0,100,0,100
Ward_188,0,0,100,0,100,0,100,0,100
Ward_189,0,0,100,0,100,0,100,0,100
Ward_19,0,0,100,0,100,0,100,0,100
Ward_190,0,0,100,0,100,0,100,0,100
Ward_191,0,0,100,0,100,0,100,0,100
Ward_192,0,0,100,0,100,0,100,0,100
Ward_193,0,100,0,100,0,100,0,100,0
Ward_194,0,0,100,0,100,0,100,0,100
Ward_195,0,0,100,0,100,0,100,0,100
Ward_196,0,100,0,100,0,100,0,100,0
Ward_197,0,0,100,0,100,0,100,0,100
Ward_198,0,0,100,0,100,0,100,0,100
Ward_199,0,100,0,100,0,100,0,100,0
Ward_2,0,0,100,0,100,0,100,0,100
Ward_20,0,0,100,0,100,0,100,0,100
Ward_200,0,0,100,0,100,0,100,0,100
Ward_201,0,0,100,0,100,0,100,0,100
Ward_202,0,0,100,0,100,0,100,0,100
Ward_203,0,0,100,0,100,0,100,0,100
Ward_204,0,100,0,100,0,100,0,100,0
Ward_205,0,100,0,100,0,100,0,100,0
Ward_206,0,0,100,0,100,0,100,0,100
Ward_207,0,0,100,0,100,0,100,0,100
Ward_208,0,0,100,0,100,0,100,0,100
Ward_209,0,0,100,0,100,0,100,0,100
Ward_21,0,0,100,0,100,0,100,0,100
Ward_210,0,100,0,100,0,100,0,100,0
Ward_211,0,100,0,100,0,100,0,100,0
Ward_212,0,0,100,0,100,0,100,0,100
Ward_213,0,0,100,0,100,0,100,0,100
Ward_214,0,0,100,0,100,0,100,0,100
Ward_215,0,0,100,0,100,0,100,0,100
Ward_216,0,0,100,0,100,0,100,0,100
Ward_217,0,0,100,0,100,0,100,0,100
Ward_218,0,0,100,0,100,0,100,0,100
Ward_219,0,0,100,0,100,0,100,0,100
Ward_22,0,0,100,0,100,0,100,0,100
Ward_220,0,100,0,100,0,100,0,100,0
Ward_221,0,0,100,0,100,0,100,0,100
Ward_222,0,0,100,0,100,0,100,0,100
Ward_223,0,0,100,0,100,0,100,0,100
Ward_224,0,0,100,0,100,0,100,0,100
Ward_225,0,0,100,0,100,0,100,0,100
Ward_226,0,100,0,100,0,100,0,100,0
Ward_227,0,100,0,100,0,100,0,100,0
Ward_228,0,100,0,100,0,100,0,100,0
Ward_229,0,0,100,0,100,0,100,0,100
Ward_23,0,0,100,0,100,0,100,0,100
Ward_230,0,0,100,0,100,0,100,0,100
Ward_231,0,0,100,0,100,0,100,0,100
Ward_232,0,0,100,0,100,0,100,0,100
Ward_233,0,0,100,0,100,0,100,0,100
Ward_234,0,0,100,0,100,0,100,0,100
Ward_235,0,0,100,0,100,0,100,0,100
Ward_236,0,0,100,0,100,0,100,0,100
Ward_237,0,0,100,0,100,0,100,0,100
Ward_238,0,0,100,0,100,0,100,0,100
Ward_239,0,0,100,0,100,0,100,0,100
Ward_24,0,100,0,100,0,100,0,100,0
Ward_240,0,0,100,0,100,0,100,0,100
Ward_241,0,0,100,0,100,0,100,0,100
Ward_242,0,0,100,0,100,0,100,0,100
Ward_243,0,0,100,0,100,0,100,0,100
Ward_244,0,0,100,0,100,0,100,0,100
Ward_245,0,0,100,0,100,0,100,0,100
Ward_246,0,0,100,0,100,0,100,0,100
Ward_247,0,0,100,0,100,0,100,0,100
Ward_248,0,100,0,100,0,100,0,100,0
Ward_249,0,0,100,0,100,0,100,0,100
Ward_25,0,0,100,0,100,0,100,0,100
Ward_250,0,0,100,0,100,0,100,0,100
Ward_251,0,0,100,0,100,0,100,0,100
Ward_252,0,0,100,0,100,0,100,0,100
Ward_253,0,0,100,0,100,0,100,0,100
Ward_254,0,0,100,0,100,0,100,0,100
Ward_255,0,0,100,0,100,0,100,0,100
Ward_256,0,100,0,100,0,100,0,100,0
Ward_257,0,0,100,0,100,0,100,0,100
Ward_258,0,0,100,0,100,0,100,0,100
Ward_259,0,100,0,100,0,100,0,100,0
Ward_26,0,0,100,0,100,0,100,0,100
Ward_260,0,0,100,0,100,0,100,0,100
Ward_261,0,0,100,0,100,0,100,0,100
Ward_262,0,0,100,0,100,0,100,0,100
