Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2019-11-01T05:27:16+00:00,,,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2019-11-01 05:27:16+00:00
Person search,2019-11-01T07:35:28+00:00,51.508066,-0.08778,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2019-11-01 07:35:28+00:00
Person and Vehicle search,2019-11-01T09:08:03+00:00,51.50995,-0.078665,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-11-01 09:08:03+00:00
Person and Vehicle search,2019-11-01T09:10:40+00:00,51.50995,-0.078665,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2019-11-01 09:10:40+00:00
Person search,2019-11-01T11:03:04+00:00,51.518046,-0.077777,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-11-01 11:03:04+00:00
Person search,2019-11-01T11:12:26+00:00,51.518046,-0.077777,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-11-01 11:12:26+00:00
Person search,2019-11-01T11:25:58+00:00,51.517431,-0.082458,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2019-11-01 11:25:58+00:00
Person and Vehicle search,2019-11-02T01:43:51+00:00,51.505881,-0.101618,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-11-02 01:43:51+00:00
Person search,2019-11-02T03:48:20+00:00,,,Female,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-02 03:48:20+00:00
Person search,2019-11-02T03:52:44+00:00,51.517431,-0.082458,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-02 03:52:44+00:00
Person search,2019-11-02T03:57:11+00:00,51.51322,-0.095015,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,False,False,2019-11-02 03:57:11+00:00
Person and Vehicle search,2019-11-02T05:13:22+00:00,51.516351,-0.082965,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-11-02 05:13:22+00:00
Person search,2019-11-02T07:09:23+00:00,51.51445,-0.100974,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-11-02 07:09:23+00:00
Person search,2019-11-02T07:40:45+00:00,51.51445,-0.100974,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-11-02 07:40:45+00:00
Person search,2019-11-02T08:00:18+00:00,,,Female,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2019-11-02 08:00:18+00:00
Person search,2019-11-02T08:09:27+00:00,51.517576,-0.079786,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-02 08:09:27+00:00
Person search,2019-11-02T08:10:14+00:00,51.517576,-0.079786,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-02 08:10:14+00:00
Person search,2019-11-02T08:13:45+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-11-02 08:13:45+00:00
Person search,2019-11-02T08:19:15+00:00,,,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2019-11-02 08:19:15+00:00
Person search,2019-11-02T08:23:02+00:00,51.513389,-0.080034,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2019-11-02 08:23:02+00:00
Person search,2019-11-02T10:29:10+00:00,51.511625,-0.081549,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2019-11-02 10:29:10+00:00
Person search,2019-11-02T10:56:55+00:00,51.51768,-0.078484,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2019-11-02 10:56:55+00:00
Person search,2019-11-02T12:29:34+00:00,51.521038,-0.078718,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-02 12:29:34+00:00
Person and Vehicle search,2019-11-03T01:43:30+00:00,51.516966,-0.1059,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2019-11-03 01:43:30+00:00
Person search,2019-11-03T01:54:05+00:00,51.516966,-0.1059,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2019-11-03 01:54:05+00:00
Person search,2019-11-03T02:01:37+00:00,51.521145,-0.097409,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2019-11-03 02:01:37+00:00
Person and Vehicle search,2019-11-03T03:52:55+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-03 03:52:55+00:00
Person search,2019-11-03T08:39:20+00:00,51.513268,-0.100202,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2019-11-03 08:39:20+00:00
Person search,2019-11-03T08:49:31+00:00,51.516347,-0.104887,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,False,False,2019-11-03 08:49:31+00:00
Person search,2019-11-03T08:55:15+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,False,False,2019-11-03 08:55:15+00:00
