Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2021-04-01T01:41:08+00:00,51.514151,-0.074958,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2021-04-01 01:41:08+00:00
Person search,2021-04-01T01:42:26+00:00,51.514151,-0.074958,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2021-04-01 01:42:26+00:00
Person search,2021-04-01T01:52:11+00:00,51.514276,-0.087549,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest,True,False,2021-04-01 01:52:11+00:00
Person search,2021-04-01T02:22:18+00:00,51.514151,-0.074958,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2021-04-01 02:22:18+00:00
Person search,2021-04-01T05:03:53+00:00,51.516347,-0.104887,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-04-01 05:03:53+00:00
Person and Vehicle search,2021-04-01T05:32:18+00:00,51.513885,-0.102741,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-04-01 05:32:18+00:00
Person search,2021-04-01T11:35:37+00:00,51.516191,-0.086416,Female,,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False,2021-04-01 11:35:37+00:00
Person search,2021-04-01T11:49:03+00:00,51.516191,-0.086416,Female,,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False,2021-04-01 11:49:03+00:00
Person search,2021-04-01T11:51:30+00:00,51.516067,-0.089838,Male,under 10,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,False,False,2021-04-01 11:51:30+00:00
Person and Vehicle search,2021-04-02T01:18:15+00:00,51.524477,-0.100456,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,True,2021-04-02 01:18:15+00:00
Person search,2021-04-02T04:10:43+00:00,51.511053,-0.075722,Female,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-04-02 04:10:43+00:00
Person search,2021-04-02T05:01:42+00:00,51.511053,-0.075722,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-04-02 05:01:42+00:00
Person search,2021-04-02T07:06:17+00:00,51.514109,-0.10328,Female,10-17,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2021-04-02 07:06:17+00:00
Person search,2021-04-03T01:46:29+00:00,51.517244,-0.080376,Male,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2021-04-03 01:46:29+00:00
Person search,2021-04-03T03:13:09+00:00,51.509547,-0.076031,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2021-04-03 03:13:09+00:00
