Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
8941baa4453eeea7380aae25c603bd3a1cc64928005f798525b8332c6fc70dec,2012-01,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Status update unavailable
8ac12afea6e8850347d5bfd39dbe659b3effb4e585151fd0584bf47d5d835a56,2012-01,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Burglary,Status update unavailable
bad124e500d825a48020897fa8f047efd9b6eeba2ea734804bb1902a4f079bba,2012-01,City of London Police,City of London Police,-0.075196,51.512609,On or near St Clare Street,E01000005,City of London 001E,Burglary,Investigation complete; no suspect identified
e4e37d600bb2355de94f30063ea928b95ebf9adeea01b31b181bfd5b870de025,2012-01,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Burglary,Status update unavailable
e45a53dcb72c369a33a20de4fd1e014213cc9d95a50cdcd3116879ee4db2ae08,2012-01,City of London Police,City of London Police,-0.094464,51.512959,On or near Watling Court,E01032739,City of London 001F,Burglary,Status update unavailable
3acef650588a2cdaea787caeb22a9779e764171161741239e1901c5d05ba6e35,2012-01,City of London Police,City of London Police,-0.09238,51.51351,On or near Queen Street,E01032739,City of London 001F,Burglary,Status update unavailable
9a7341644fa2b17f7a765893862d69bbc176c6770eae6af8c7cda2b998053ce2,2012-01,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Burglary,Unable to prosecute suspect
ae65e78adcd38f48291bc95ec751cb920c981a2f75f3998a926e0d54fe64cc6e,2012-01,City of London Police,City of London Police,-0.09238,51.51351,On or near Queen Street,E01032739,City of London 001F,Burglary,Status update unavailable
014ec1340bebfa05bca6bf13f7ea6cabac72f39f4e962e53dd28ef7cfc514b0f,2012-01,City of London Police,City of London Police,-0.09238,51.51351,On or near Queen Street,E01032739,City of London 001F,Burglary,Status update unavailable
87aa539d970a906b94832ad18ae0e7f3ceb1052431170e678794e1e8e0b82ae9,2012-01,City of London Police,City of London Police,-0.08776,51.517149,On or near London Wall,E01032739,City of London 001F,Burglary,Status update unavailable
9cb53ee3080b6d4fd818c9835214c840fd4e42df10e475a8981072114ae951fe,2012-01,City of London Police,City of London Police,-0.08776,51.517149,On or near London Wall,E01032739,City of London 001F,Burglary,Status update unavailable
4cc4d3ad0e4fa69f7dcee45256ceba819b01ba27972da1c957bac4c66a1409cd,2012-01,City of London Police,City of London Police,-0.081832,51.514507,On or near Undershaft,E01032739,City of London 001F,Burglary,Status update unavailable
7f193b102874443851b54b06a9cec4828ac22444dcf33ec6bc2d17b1d1a980ac,2012-01,City of London Police,City of London Police,-0.084095,51.5169,On or near New Broad Street,E01032739,City of London 001F,Burglary,Status update unavailable
be2a219e1f0f87df83c4f82657616f710b15074ff0e3ffc12509fef0a46623de,2012-01,City of London Police,City of London Police,-0.084095,51.5169,On or near New Broad Street,E01032739,City of London 001F,Burglary,Status update unavailable
4bd0d2b9ac6b3a40c5a1e3de6cce51f4565ac017423e766e8c066816bec5c7ec,2012-01,City of London Police,City of London Police,-0.093198,51.510834,On or near Upper Thames Street,E01032739,City of London 001F,Burglary,Status update unavailable
f63b78d5b149febb41667b88a76783f2f697d46994d1f81e11577301d903338b,2012-01,City of London Police,City of London Police,-0.086278,51.509876,On or near Fish Street Hill,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
7997b6090a02ca22110043ae61eb2816f9f69b3fa460e575843a3b0629df22fb,2012-01,City of London Police,City of London Police,-0.094464,51.512959,On or near Watling Court,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
38b1cf1e78e068df172d2f1fc0101bde539ddf2c7372ce0c6acb10890b6dfeb7,2012-01,City of London Police,City of London Police,-0.085833,51.513952,On or near Finch Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
0014ab86a36ca08eef2bba11e7597214a98b3930a993020edf7a476d3f9777d1,2012-01,City of London Police,City of London Police,-0.094464,51.512959,On or near Watling Court,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
e1d3b439edddfd5e3d8bee6496ce67d9da31e7aff5d3d4b3efce275714c390c4,2012-01,City of London Police,City of London Police,-0.080782,51.514804,On or near St Mary Axe,E01032739,City of London 001F,Burglary,Offender sent to prison
27680188855c4902ed647d6744609fbcefb1e27f4585b971ab4c45cc1c7b6c65,2012-01,City of London Police,City of London Police,-0.09832,51.519344,On or near Newbury Street,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
6b6b4fbc06a0cde36ca1d561b3f4b572ba80acb85cfb7de1928b54e7d030d0b8,2012-01,City of London Police,City of London Police,-0.108418,51.513581,On or near Lombard Lane,E01032740,City of London 001G,Burglary,Status update unavailable
d13704dd45eab70817e116de7df079d0aeb92abc75791d445880c81a95a1eef2,2012-01,City of London Police,City of London Police,-0.111181,51.516476,On or near Cursitor Street,E01032740,City of London 001G,Burglary,Status update unavailable
0cba5b18c64be1a72e97a9821c73fa6021f18d3e56031e69c294d5c3f9740732,2012-01,City of London Police,City of London Police,-0.10791,51.515047,On or near Gough Square,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
122dc4e83aff85beb292e5212cc0cd819d5d9ee4eab2e3db4ebe6cad65650e7b,2012-01,Metropolitan Police Service,Metropolitan Police Service,0.131173,51.582376,On or near Lake Road,E01000029,Barking and Dagenham 001C,Burglary,Investigation complete; no suspect identified
