Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person and Vehicle search,2025-01-01T19:44:54+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-01 19:44:54+00:00
Person and Vehicle search,2025-01-01T19:53:21+00:00,,,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-01 19:53:21+00:00
Person and Vehicle search,2025-01-01T20:19:35+00:00,,,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-01 20:19:35+00:00
Person and Vehicle search,2025-01-01T23:12:51+00:00,,,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-01 23:12:51+00:00
Person search,2025-01-02T03:19:44+00:00,51.510042,-0.120439,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-02 03:19:44+00:00
Person and Vehicle search,2025-01-02T03:23:13+00:00,51.510042,-0.120439,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-02 03:23:13+00:00
Person search,2025-01-02T17:38:36+00:00,51.518231,-0.112953,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-02 17:38:36+00:00
Person search,2025-01-02T20:28:08+00:00,,,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-02 20:28:08+00:00
Person search,2025-01-02T21:56:33+00:00,51.51477,-0.101292,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2025-01-02 21:56:33+00:00
Person search,2025-01-03T13:28:06+00:00,51.513736,-0.095224,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2025-01-03 13:28:06+00:00
Person search,2025-01-03T18:38:01+00:00,,,Female,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2025-01-03 18:38:01+00:00
Person and Vehicle search,2025-01-03T19:21:47+00:00,51.509785,-0.068095,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-03 19:21:47+00:00
