Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2022-11-02T00:16:46+00:00,51.517239,-0.106076,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-11-02 00:16:46+00:00
Person search,2022-11-02T03:28:32+00:00,51.517239,-0.106076,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-11-02 03:28:32+00:00
Person search,2022-11-02T18:30:39+00:00,51.517296,-0.081902,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-11-02 18:30:39+00:00
Person search,2022-11-03T13:31:58+00:00,51.512642,-0.076145,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-11-03 13:31:58+00:00
Person search,2022-11-03T14:49:32+00:00,51.523429,-0.0974,Female,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2022-11-03 14:49:32+00:00
Person search,2022-11-03T16:06:15+00:00,51.523001,-0.098715,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-11-03 16:06:15+00:00
Person search,2022-11-03T17:34:09+00:00,51.520154,-0.01745,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-11-03 17:34:09+00:00
Person search,2022-11-03T21:52:30+00:00,51.516103,-0.089822,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True,2022-11-03 21:52:30+00:00
Person search,2022-11-04T03:22:10+00:00,51.510864,-0.089479,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False,2022-11-04 03:22:10+00:00
Person and Vehicle search,2022-11-04T06:09:35+00:00,51.510864,-0.089479,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-11-04 06:09:35+00:00
Person and Vehicle search,2022-11-04T06:38:09+00:00,51.510864,-0.089479,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-11-04 06:38:09+00:00
Person and Vehicle search,2022-11-04T06:40:06+00:00,51.510864,-0.089479,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,False,2022-11-04 06:40:06+00:00
Person and Vehicle search,2022-11-04T15:19:43+00:00,51.516271,-0.092971,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-11-04 15:19:43+00:00
Person search,2022-11-04T15:25:52+00:00,51.516271,-0.092971,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-11-04 15:25:52+00:00
Person search,2022-11-05T01:52:49+00:00,51.511759,-0.076038,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-11-05 01:52:49+00:00
Person search,2022-11-05T02:13:18+00:00,51.51259,-0.112811,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,False,2022-11-05 02:13:18+00:00
Person search,2022-11-05T16:49:36+00:00,51.516869,-0.081113,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-11-05 16:49:36+00:00
Person search,2022-11-05T18:48:51+00:00,51.513209,-0.0949,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-11-05 18:48:51+00:00
Person search,2022-11-05T20:16:56+00:00,51.517785,-0.079907,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,False,True,2022-11-05 20:16:56+00:00
Person search,2022-11-06T18:34:49+00:00,51.512105,-0.085089,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2022-11-06 18:34:49+00:00
Person search,2022-11-07T02:10:26+00:00,51.526745,-0.087286,Male,18-24,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-11-07 02:10:26+00:00
Person search,2022-11-07T02:38:18+00:00,51.526745,-0.087286,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-11-07 02:38:18+00:00
Person search,2022-11-07T02:40:26+00:00,51.526745,-0.087286,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,False,False,2022-11-07 02:40:26+00:00
Person search,2022-11-09T05:44:50+00:00,51.511965,-0.075453,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-11-09 05:44:50+00:00
Person and Vehicle search,2022-11-09T07:14:56+00:00,51.511965,-0.075453,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,True,2022-11-09 07:14:56+00:00
Person search,2022-11-09T13:46:26+00:00,51.511759,-0.076038,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2022-11-09 13:46:26+00:00
Person and Vehicle search,2022-11-09T16:57:11+00:00,51.527173,-0.080478,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2022-11-09 16:57:11+00:00
