Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
a6ae32ade5d137f4ee0bb1396ec5ec1cc2d73f384cbcad3d093e30ba3863925b,2015-02,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Burglary,Investigation complete; no suspect identified
88741d04622d02d958a83c67283bf1938a09572f1cda0138e2c477a1bb73f1f3,2015-02,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified
87ba4ac10678776aac52b3fafa2b1e1d42a6d38aaa70f00f3fe1139c8a3273f0,2015-02,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Burglary,Investigation complete; no suspect identified
43d01eea90a19e6cd5c597c2ef15e613aced375b7431f47f141de5187322a636,2015-02,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Burglary,Offender sent to prison
a5ca75db1ac90f82a8af530fbf73046d5955da1a16c9c69abf7a8f629b53bf04,2015-02,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Burglary,Unable to prosecute suspect
20f62db5bfb9590fa2052221a6b41a440c6fff5774ad8dd6bd9f538483e523f5,2015-02,City of London Police,City of London Police,-0.080322,51.510651,On or near Mark Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
d6d67e91b0aaeae79d3d2d381864108927839d269d0f1ee33da4099f47a8d17d,2015-02,City of London Police,City of London Police,-0.080322,51.510651,On or near Mark Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
6c69f48e130b151fc722b9c0cbef18390f1f56a1707543bf40dac67706f5f925,2015-02,City of London Police,City of London Police,-0.101452,51.51265,On or near St Andrew'S Hill,E01032739,City of London 001F,Burglary,Court result unavailable
46b90d4795f2b1859583020209b9bd5bdb3f5e4ea8a0abb0aa724c8644f8d6a5,2015-02,City of London Police,City of London Police,-0.078308,51.518091,On or near Widegate Street,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
2a9b3856b236ffa8513e20e1e33823ca5c8fb7c362a05fc5d02ec952205d0706,2015-02,City of London Police,City of London Police,-0.094231,51.511984,On or near Great Trinity Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
17a3f2edc4c7db5b8b2db1f89650830167466513738a6bd631663f0676482d6d,2015-02,City of London Police,City of London Police,-0.090142,51.514292,On or near Conference/Exhibition Centre,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
e7f26332d5d89180b1a99dbf7e27943e7b07a26ad8f2727ba733dcab7bd1408a,2015-02,City of London Police,City of London Police,-0.080322,51.510651,On or near Mark Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
a10eb74401948b64f5f6612f535e21050ce778831dd4cdd35c822469a70ed986,2015-02,City of London Police,City of London Police,-0.082571,51.514753,On or near Great St Helen'S,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
80cf2c582410b82d944aa9449984b297f845d02f4ff3983d6bbd5055f2dc2d75,2015-02,City of London Police,City of London Police,-0.102412,51.517297,On or near Cock Lane,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
0ed29313df02b5e7b4493135eefdb41ed4b1652368ce0b33db84810c046ca9e0,2015-02,City of London Police,City of London Police,-0.10791,51.515047,On or near Gough Square,E01032740,City of London 001G,Burglary,Local resolution
88dcd68af8977094f5f1742853d61122dfb99f843843be1b3e408f585ba8acff,2015-02,City of London Police,City of London Police,-0.102412,51.517297,On or near Cock Lane,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
b78b6cf0173e5ca4ee34de0ae4d13d765d92a2c04df365665d9640292b34cd00,2015-02,City of London Police,City of London Police,-0.11071,51.513914,On or near Fleet Street,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
f5615da4b219545adfc7a448f18585b8f0cbb65dfdf7ea5f7e8fad873eee3e13,2015-02,City of London Police,City of London Police,-0.108018,51.511749,On or near Temple Avenue,E01032740,City of London 001G,Burglary,Unable to prosecute suspect
c25ad74fce5c626f10be007521cd57d89972537f59853b241ea82bdf46d3f741,2015-02,City of London Police,City of London Police,-0.105134,51.513869,On or near Bride Lane,E01032740,City of London 001G,Burglary,Unable to prosecute suspect
427f400e919aaa6c1cd6db50fc52f3d9c210aeba8812b973b2fec262f8fa20b4,2015-02,City of London Police,City of London Police,-0.09721,51.523156,On or near Baltic Street West,E01033490,Islington 022H,Burglary,Investigation complete; no suspect identified
437683f8bba5f41bce47b84b90699b1d4367efc4395968c417d7ba0fe0fc7ae2,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.133181,51.586719,On or near Rosehatch Avenue,E01000027,Barking and Dagenham 001A,Burglary,Investigation complete; no suspect identified
98e262226a4a829330a06e95bd3447462b9ffd2f28cf8f7fd82ab37e1f59a514,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.133181,51.586719,On or near Rosehatch Avenue,E01000027,Barking and Dagenham 001A,Burglary,Suspect charged as part of another case
e92ca1718a000de3f405b1be1068c3c0b63b7604206cc279566d560896a19f8e,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.133181,51.586719,On or near Rosehatch Avenue,E01000027,Barking and Dagenham 001A,Burglary,Status update unavailable
8d40aed73945da5a11e7732415c14ddcd5c6ec26aa0439fc188f49a0d1e81f88,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.133181,51.586719,On or near Rosehatch Avenue,E01000027,Barking and Dagenham 001A,Burglary,Status update unavailable
c7d512d6284be809fbf82e62e5615d01d628ce2171d9ae7ac588abf3aec48987,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.138439,51.578503,On or near Geneva Gardens,E01000029,Barking and Dagenham 001C,Burglary,Status update unavailable
2be257fa313e6d5b8c32f35bd6d211a096185bcd355c343d8e3a29f669c0d80c,2015-02,Metropolitan Police Service,Metropolitan Police Service,0.133362,51.578883,On or near Portland Gardens,E01000029,Barking and Dagenham 001C,Burglary,Status update unavailable
