Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
b1af80bb51bffe0ee6ff736be965d24b29660f1699fc293ce6dacac4af050a99,2015-11,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified
858ba87fa14c714850f521a46bcc590f31fcf43ac6bfbe5f54b8f6302842b127,2015-11,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified
f03e00204589c6b27abbbd9475de69f479ca4dcc11e466f773bfd77904fe5a04,2015-11,City of London Police,City of London Police,-0.0954,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Burglary,Unable to prosecute suspect
14ccbd7545c264a53c1c2255bc88a97940249ec2b7c9209f71039f68e4d67278,2015-11,City of London Police,City of London Police,-0.078393,51.515728,On or near Clothier Street,E01000005,City of London 001E,Burglary,Investigation complete; no suspect identified
ebfef06664b48f2169bcb47ab4cd55b0e01b25c8c7441409cca5825e6792b55e,2015-11,City of London Police,City of London Police,-0.074793,51.511208,On or near Pedestrian Subway,E01000005,City of London 001E,Burglary,Investigation complete; no suspect identified
0624069f046538b8d9b216575259f2b99ae3a9e442f12f275f12554019fbec9c,2015-11,City of London Police,City of London Police,-0.086272,51.513114,On or near Birchin Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
0496ca5167b5f1a4e5d0e5252a0fad6fe8b2b067b255514feb5bae3040581ab5,2015-11,City of London Police,City of London Police,-0.091823,51.514418,On or near Ironmonger Lane,E01032739,City of London 001F,Burglary,Awaiting court outcome
344a10553393556e40106c564fc91a8bad5775fbc0079bdc2c7f4cbe0eb3a75d,2015-11,City of London Police,City of London Police,-0.080322,51.510651,On or near Mark Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
c17e9363843ade9ebeca58846b5b6a97e8618c7afcc411c8ed00729b63d2c653,2015-11,City of London Police,City of London Police,-0.089582,51.511495,On or near Cannon Street,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
22cfafbf621e7fa113d6d61c8f5f9edc63135c7e487281b722614d9534a28a0b,2015-11,City of London Police,City of London Police,-0.084201,51.510949,On or near Philpot Lane,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
bca6b051f0ecd3a52fcd5b712b79fe129083941832fb2e3bd417ef78fe862787,2015-11,City of London Police,City of London Police,-0.084967,51.512598,On or near Bell Inn Yard,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
be8f183a335d32b1c2e520f5012eaea76f293d0c6f9076d8bda53939fd2e26d7,2015-11,City of London Police,City of London Police,-0.089218,51.516057,On or near Moorgate,E01032739,City of London 001F,Burglary,Unable to prosecute suspect
1d7b0bf45c742cdabbeb79b5f7fede9b7718a0d2612cb4771a4b7c78c87f5f5d,2015-11,City of London Police,City of London Police,-0.082527,51.512027,On or near Cullum Street,E01032739,City of London 001F,Burglary,Investigation complete; no suspect identified
7aaf28824971b42ffd0749ec0515a656a25f5f16439e5f9d26af030e295a7105,2015-11,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Burglary,Court result unavailable
bb3a6f3a6696993ba70248dfd834bf913303a5d999e45516ebe51b7a656648e1,2015-11,City of London Police,City of London Police,-0.111242,51.516738,On or near Took'S Court,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
19ee9f8ef4430b447c8c46a9aaf68d6f35e334b574c327f590a3a0e3f774cade,2015-11,City of London Police,City of London Police,-0.111181,51.516476,On or near Cursitor Street,E01032740,City of London 001G,Burglary,Suspect charged as part of another case
1e62e24bb86debe1670cdaec2bb4094729b4a300ad4e7f9990d62ae8536f757d,2015-11,City of London Police,City of London Police,-0.111242,51.516738,On or near Took'S Court,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
b45a8f3122e90b821f9f0ee7cc2aa845fadeb9263b5a9d32041e1c1d18f392e6,2015-11,City of London Police,City of London Police,-0.0985,51.519526,On or near Middle Street,E01032740,City of London 001G,Burglary,Court result unavailable
0194e25c2d5af1ab508b0c8f24c4664d09b8beea425e24ee85279a050951acc8,2015-11,City of London Police,City of London Police,-0.111242,51.516738,On or near Took'S Court,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
0f8d5c32bd9aa45d6c29badd87e5a9ef775493342bff618307abd1bc73595fc1,2015-11,City of London Police,City of London Police,-0.106282,51.51191,On or near John Carpenter Street,E01032740,City of London 001G,Burglary,Investigation complete; no suspect identified
383d4fd9910180aae1e671c8fb2f816559c2cd9ee1a2387fc3e3f38515b0618b,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.141143,51.590873,On or near Furze Farm Close,E01000027,Barking and Dagenham 001A,Burglary,Status update unavailable
87b10b39bc01901311b7bee58597e6628e198775a500f4ed2dd11e1c49655de2,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.140634,51.583427,On or near Rams Grove,E01000027,Barking and Dagenham 001A,Burglary,Status update unavailable
f369c73471675b198e0af7e9e0dfd1255e76a870c54f0b96debdff604a3a4b69,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.139479,51.579743,On or near Yew Tree Gardens,E01000029,Barking and Dagenham 001C,Burglary,Status update unavailable
6a024a08022aa7c7f8550fc9d657201fea8ea633327df90d6b070d267aab27f1,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.134456,51.580347,On or near Havering Gardens,E01000029,Barking and Dagenham 001C,Burglary,Investigation complete; no suspect identified
2350f3e5a4f20cfcff8ca4928e20a43156865eb675024024db88fb417dabce3f,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.139479,51.579743,On or near Yew Tree Gardens,E01000029,Barking and Dagenham 001C,Burglary,Status update unavailable
7e35dc0d79baba49db2e3b17e8098d920fa4e48a867a625e675ce3bd37e3f4d9,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.136908,51.580941,On or near Eastern Avenue West,E01000030,Barking and Dagenham 001D,Burglary,Investigation complete; no suspect identified
47b7de0343fa804c6b7d86ad89eaf494310223d1092dec5569b4ec909d1a3f61,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.135438,51.58282,On or near Sheepcotes Road,E01000030,Barking and Dagenham 001D,Burglary,Status update unavailable
41c070623679e0cca3b53361bf92cff3e890aed9b25a41e784eeab849017b93f,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.140066,51.576567,On or near Cavendish Gardens,E01000031,Barking and Dagenham 002A,Burglary,Status update unavailable
2fa8de072738e9958d631d57d0d0ae60fd91537a67d222d49a2560a43a8ca9f6,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.139269,51.577112,On or near Lansbury Avenue,E01000031,Barking and Dagenham 002A,Burglary,Status update unavailable
0e644a1a6e4ee26062922fd7a95def7a4c0bf213b4e2c7187c217a78ec4b4b62,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.139443,51.575904,On or near Beresford Gardens,E01000031,Barking and Dagenham 002A,Burglary,Investigation complete; no suspect identified
3c71782129d1d89d3657bd695a3ea8cec81b5be6cfd65c0907126647795833db,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.137695,51.574938,On or near Mill Lane,E01000031,Barking and Dagenham 002A,Burglary,Status update unavailable
0918f866b802e3fd7952bc8897132dfa001c1b146fa6348ce5fe18a709f7c897,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.134339,51.575394,On or near West Road,E01000032,Barking and Dagenham 002B,Burglary,Investigation complete; no suspect identified
651bdddbc0f0edc9dd1ff8faf67ad9fd8ac4ed77f5b462968f7d84466b4472e1,2015-11,Metropolitan Police Service,Metropolitan Police Service,0.134864,51.571806,On or near Supermarket,E01000032,Barking and Dagenham 002B,Burglary,Investigation complete; no suspect identified
