years_of_data,radius_km,team,venue,borough,total_burglaries,unique_lsoas,data_months,match_months,no_match_months,avg_burglary_match,avg_burglary_no_match,difference,percentage_change,t_statistic,p_value_ttest,p_value_mann_whitney,cohens_d,effect_size,significant_ttest,significant_mann_whitney,correlation_matches_burglary,correlation_attendance_burglary,correlation_goals_burglary
5,2,Arsenal,Emirates Stadium,Islington,5866,131,50,38,12,118.57894736842105,113.33333333333333,5.245614035087726,4.628482972136229,0.8468109968190919,0.4013028365407588,0.5097813504296868,0.28040714140134776,Small,False,False,-0.0027407961222444908,-0.0667265603889283,-0.10926698237101914
5,2,Chelsea,Stamford Bridge,Hammersmith and Fulham,5464,131,50,39,11,110.76923076923077,104.0,6.769230769230774,6.508875739644974,1.4183414501339937,0.16255134667307222,0.2969865175889783,0.4842137872309559,Small,False,False,0.03964453425101381,-0.07430105545932875,0.2985068155299091
5,2,Tottenham,Wembley Stadium,Haringey,1851,64,50,38,12,36.71052631578947,38.0,-1.2894736842105274,-3.3933518005540195,-0.5338702708748293,0.5958951900566654,0.39337383316386654,-0.17678211206219777,Negligible,False,False,0.04431732284265197,0.12985193363184822,-0.07258775067319531
5,2,West Ham,London Stadium,Newham,3908,95,50,38,12,78.39473684210526,77.41666666666667,0.9780701754385888,1.2633845107925796,0.20222654802669146,0.8405943104195684,0.9005270969332194,0.06696390157973024,Negligible,False,False,-0.05609037704582854,0.12690814035375098,-0.030725318916892178
5,5,Arsenal,Emirates Stadium,Islington,34133,569,50,38,12,689.578947368421,660.75,28.82894736842104,4.363064300933945,1.3511871188432858,0.18297012705236398,0.30127357645353203,0.44742276483935556,Small,False,False,-0.002032673683713935,0.06908145302147922,0.12642597298892236
5,5,Chelsea,Stamford Bridge,Hammersmith and Fulham,27978,560,50,39,11,568.1794871794872,529.0,39.17948717948718,7.406330279676215,2.0952658494326393,0.04144749218786136,0.10350738158730315,0.715311966743704,Medium,True,False,0.09868825238722483,0.17728181049646496,0.2499705896118039
5,5,Tottenham,Wembley Stadium,Haringey,11931,329,50,38,12,240.47368421052633,232.75,7.723684210526329,3.3184464921702808,0.6507174624432349,0.5183318098521119,0.6825341962938098,0.2154740835783305,Small,False,False,-0.09889289874425042,0.13026436265459607,0.12289063063932666
5,5,West Ham,London Stadium,Newham,27463,566,50,38,12,552.5526315789474,538.8333333333334,13.719298245614027,2.546111644716491,0.7244659947121284,0.47229637919254397,0.6333025430226469,0.23989466289738173,Small,False,False,-0.05221218047098336,-0.007516701389988902,0.043972448958281715
5,10,Arsenal,Emirates Stadium,Islington,102533,1887,50,38,12,2059.6315789473683,2022.25,37.381578947368325,1.848514226597519,0.6282477945395197,0.5328196575601281,0.9005698765006193,0.20803363303058633,Small,False,False,-0.048237197628453674,0.0656783021803558,0.05499222163586324
5,10,Chelsea,Stamford Bridge,Hammersmith and Fulham,88584,1706,50,39,11,1787.2564102564102,1716.4545454545455,70.80186480186467,4.12489016906155,1.3320419317581533,0.18913678509402443,0.34883782686255105,0.45475161743747966,Small,False,False,-0.04234317873102538,0.19976368332540118,0.19735653716481363
