LSOA_code,crime_count,avg_distance_to_stadium,LSOA_name
E01033595,1888,10.737459299746291,Westminster 013E
E01032739,1675,14.107620925428778,City of London 001F
E01004763,1509,11.015792026659879,Westminster 013B
E01033708,1328,14.151752035769459,Hackney 033C
E01004734,1217,11.687253012053516,Westminster 018A
E01004765,1106,10.470809123399588,Westminster 013D
E01004735,968,12.004278353424478,Westminster 018B
E01004736,955,11.495378590789363,Westminster 018C
E01004761,920,10.613516134484316,Westminster 018D
E01000914,918,11.887619281177209,Camden 028B
E01004714,908,9.82971470396135,Westminster 011B
E01033583,816,18.9804088412372,Newham 013G
E01000919,796,11.491526871188281,Camden 028D
E01032740,742,12.737457236076253,City of London 001G
E01000918,726,11.686455608841,Camden 028C
E01003929,715,14.148604233504742,Southwark 002B
E01002724,702,12.64098395328035,Islington 022D
E01000850,638,10.92884441122022,Camden 026A
E01033596,598,11.029339792229187,Westminster 013F
E01002704,579,13.729524314880969,Islington 023D
E01000855,577,11.294063493107014,Camden 028A
E01003927,576,13.848645952018655,Southwark 002A
E01033594,568,8.631285051049502,Westminster 015G
E01001043,567,24.24457367138487,Croydon 027B
E01033706,559,14.298126987971992,Hackney 033B
E01004699,555,7.812866217251722,Westminster 017F
E01004307,544,14.694571475078547,Tower Hamlets 015B
E01000851,505,10.484610394913227,Camden 026B
E01004682,504,8.54221732288308,Westminster 016B
E01004254,501,17.73042481978993,Tower Hamlets 023B
E01000916,500,12.465141656453502,Camden 027B
E01004317,497,14.863427191159909,Tower Hamlets 009D
E01004654,486,7.528440664964287,Westminster 014B
E01001943,479,6.745515598315571,Hammersmith and Fulham 004A
E01003876,466,10.750707671867076,Richmond upon Thames 008B
E01004731,466,11.658960098875614,Westminster 020A
E01003013,458,12.89858249495647,Lambeth 036A
E01002731,455,11.181056887510122,Islington 007B
E01000600,455,2.618053534591472,Brent 027E
E01001247,454,3.499895989802328,Ealing 015E
E01001898,450,7.8606526129585585,Hammersmith and Fulham 013C
E01002968,449,16.313017359876113,Kingston upon Thames 009C
E01000863,442,9.582464979855873,Camden 021A
E01003047,438,15.482876086084534,Lambeth 011B
E01004242,436,18.445688446207246,Tower Hamlets 012C
E01003318,433,21.742613509754513,Lewisham 020B
E01004197,433,15.641874278291795,Tower Hamlets 002A
E01002554,426,14.32242830253696,Hillingdon 022F
E01001748,424,14.467615654140076,Hackney 020A
E01000973,421,6.130111795973675,Camden 010E
E01002770,420,9.928614785961942,Islington 004B
E01004657,417,9.480080319570657,Westminster 012A
E01033712,411,15.315506636134204,Hackney 023G
E01001048,411,23.408619858955134,Croydon 020C
E01033704,408,15.473863272468758,Hackney 023F
E01035716,405,10.828576922684809,Westminster 013G
E01001014,401,23.349437422108757,Croydon 024A
